Field_ID,FieldCall,Desc,BaseMapUnit,MapUnit,SiteSeries,Association,ForNonfor,Type,Type2,Type3,Full,Alliance,Class,Group,Realm,ExpectedPhysiog,Will to check,order,ColorType,RGB_Colour,Class_ID,Group_ID,Realm_ID,Physiog_ID,Map_ID,Notes
,SBSmc2/Wb,,Wb,Wb,,Wb,Nfor,Treed,For,TreedWet,Wb,,Wb,P,,6,,,,,,,,,,
46,SBSmc2/Wb05,,Wb05,Wb,,Wb,Nfor,Treed,For,TreedWet,Wb,,Wb,P,W,6,,49,22,,1000,1000,4,2,1000,
,SBSmc2/Wb06,,Wb06,Wb,,Wb,Nfor,Treed,For,TreedWet,Wb,,Wb,P,,6,,,,,,,,,1000,
,SBSmc2/Wb07,,Wb07,Wb,,Wb,Nfor,Treed,For,TreedWet,Wb,,Wb,P,,6,,,,,,,,,1000,
,SBSmc2/Wb08,,Wb08,Wb,,Wb,Nfor,Treed,For,TreedWet,Wb,,Wb,P,,6,,,,,,,,,1000,
47,SBSmc2/Wb11,,Wb11,Wb,,Wb,Nfor,Treed,For,TreedWet,Wb,,Wb,P,W,6,,50,22,,1000,1000,4,2,1000,
48,SBSmc2/Wb12,,Wb12,W,,Wb,Nfor,Nfor,For,TreedWet,Wb,,W,P,W,6,,51,22,,1000,1000,4,2,1000,
,SBSmc2/Wb15,,Wb15,Wb,,Wb,Nfor,Treed,For,TreedWet,Wb,,Wb,P,,6,,,,,,,,,1000,
,SBSmc2/Wb17,,Wb17,Wb,,Wb,Nfor,Treed,For,TreedWet,Wb,,Wb,P,,6,,,,,,,,,1000,
49,SBSmc2/Wb20,,Wb20,Wb,,Wb,Nfor,Treed,For,TreedWet,Wb,,Wb,P,W,6,,52,22,,1000,1000,4,2,1000,
,SBSmc2/Wb21,,Wb21,Wb,,Wb,Nfor,Treed,For,TreedWet,Wb,,Wb,P,,6,,,,,,,,,1000,
50,Wb,,Wb,Wb,,Wb,Nfor,Treed,For,TreedWet,Wb,,Wb,P,W,6,,53,22,,1000,1000,4,2,1000,
51,Wb - horsetail,,Wb,Wb,,Wb,Nfor,Treed,For,TreedWet,Wb,,Wb,P,W,6,,69,,,1000,1000,4,2,1000,
will/hardy,Wb05,,Wb05,Wb,,Wb,Nfor,Treed,For,TreedWet,Wb,,Wb,P,W,6,,49,22,,,,,,,
will/hardy,"Wb05 Pl, Bl, Sx,salibac,carex Aqua",,Wb05,Wb,,Wb,Nfor,Treed,For,TreedWet,Wb,,Wb,P,W,6,,49,22,,,,,,,
Adrian/amenita,Wb07,,Wb07,Wb,,Wb,Nfor,Treed,For,TreedWet,W,,Wb,P,,6,,,,,,,,,1000,This looks non-treed in the single transect
will/hardy,Wb09,,Wb09,Wb,,Wb,Nfor,Treed,For,TreedWet,Wb,,Wb,P,W,6,,49,22,,,,,,,
52,ESSFmc/Wf,,Wf,Wf,,Wf,Nfor,Nfor,Nfor,Nfor,W,,Wf,P,W,2 or 3b,,54,23,,1100,1000,4,2,1100,
53,ESSFmc/Wf01,,Wf01,Wf,,Wf,Nfor,Nfor,Nfor,Nfor,W,,Wf,P,W,2,,55,23,,1100,1000,4,2,1100,
54,ESSFmc/Wf03,,Wf03,Wf,,Wf,Nfor,Nfor,Nfor,Nfor,W,,Wf,P,W,3,,56,23,,1100,1000,4,2,1100,
55,ESSFmc/Wf04,,Wf04,Wf,,Wf,Nfor,Nfor,Nfor,Nfor,W,,Wf,P,W,3,,57,23,,1100,1000,4,2,1100,
,ESSFmc/Wf12,,Wf12,Wf,,Wf,Nfor,Nfor,Nfor,Nfor,W,,Wf,P,W,2,,,,,,,,,1101,
,ESSFmc/Wf13,,Wf13,Wf,,Wf,Nfor,Nfor,Nfor,Nfor,W,,Wf,P,W,2,,,,,,,,,,
56,ESSFmcw/Wf,,Wf,Wf,,Wf,Nfor,Nfor,Nfor,Nfor,W,,Wf,P,W,2,,58,23,,1100,1000,4,2,1100,
,ESSFmcw/Wf01,,Wf01,Wf,,Wf,Nfor,Nfor,Nfor,Nfor,W,,Wf,P,,2,,,,,,,,,1100,
